VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1718660727119	0.570438	-0.248735	-0.798688	0.998147	-0.000638389	5.83326e-06	-0.0608461	0.5	-0.852989	0	1	0	1586.75	3.13454	img_PhysXCar__0_1718660727118505300.png
PhysXCar	1718660731403	1.51111	-0.431026	-0.731723	0.996723	-0.00227764	0.000640877	-0.080861	0.5	-0.935397	0	1	0	1610.84	3.39066	img_PhysXCar__0_1718660731402125600.png
PhysXCar	1718660735688	2.48903	-0.753661	-0.723	0.991181	0.00236774	2.42915e-05	-0.13249	0.5	-0.903879	0	1	0	1667.11	3.53178	img_PhysXCar__0_1718660735683209800.png
PhysXCar	1718660740037	3.42757	-1.27812	-0.720558	0.97697	0.00447684	-0.000853506	-0.213326	0.5	-0.516388	0	1	0	1723.37	3.70047	img_PhysXCar__0_1718660740036030200.png
PhysXCar	1718660744384	4.36531	-1.91207	-0.719806	0.964275	0.00185794	-0.00017395	-0.264897	0.5	0.162971	0	1	0	1758.34	3.92554	img_PhysXCar__0_1718660744382800000.png
PhysXCar	1718660748717	5.39724	-2.49228	-0.719383	0.967353	-0.00167353	0.000705287	-0.253425	0.5	0.344003	0	1	0	1796.19	4.04319	img_PhysXCar__0_1718660748716397600.png
PhysXCar	1718660753092	6.50522	-3.01379	-0.719046	0.97304	-0.00078839	0.000432384	-0.230636	0.5	-0.284505	0	1	0	1830.33	4.18655	img_PhysXCar__0_1718660753090135600.png
PhysXCar	1718660757459	7.59635	-3.64616	-0.718724	0.967087	0.00202018	-0.000360346	-0.254437	0.5	-0.383136	0	1	0	1865.32	4.26834	img_PhysXCar__0_1718660757453819400.png
PhysXCar	1718660761778	8.64195	-4.40355	-0.718527	0.955779	0.00221548	-0.000465952	-0.294076	0.5	0.0489636	0	1	0	1893.82	4.3918	img_PhysXCar__0_1718660761776711100.png
PhysXCar	1718660766092	9.75056	-5.12401	-0.718344	0.958836	-0.00107621	0.000554504	-0.283957	0.5	0.358801	0	1	0	1919.78	4.466	img_PhysXCar__0_1718660766090578900.png
PhysXCar	1718660770444	10.9495	-5.73357	-0.71825	0.96996	-0.00272061	0.000851887	-0.243249	0.5	0.168868	0	1	0	1943.97	4.55205	img_PhysXCar__0_1718660770441104600.png
PhysXCar	1718660774770	12.1756	-6.34517	-0.718197	0.971791	0.000280529	0.000123774	-0.235844	0.5	-0.237662	0	1	0	1963.43	4.61626	img_PhysXCar__0_1718660774767864100.png
PhysXCar	1718660779131	13.3737	-7.05216	-0.7184	0.966431	0.00134315	-3.93257e-05	-0.256924	0.5	0.0200559	0	1	0	1980.99	4.69478	img_PhysXCar__0_1718660779129162000.png
PhysXCar	1718660783512	14.6154	-7.72242	-0.718687	0.969534	-0.00105455	0.000627183	-0.244954	0.5	0.335493	0	1	0	1998.89	4.73375	img_PhysXCar__0_1718660783503934200.png
PhysXCar	1718660787791	15.9291	-8.27312	-0.719175	0.978637	-0.00256226	0.000854168	-0.205581	0.5	0.374122	0	1	0	2015.35	4.77476	img_PhysXCar__0_1718660787789582100.png
PhysXCar	1718660791911	4.01864	-0.821557	-0.719575	0.998283	-0.0082437	0.000418631	-0.0579973	0.5	0.09878	0	1	0	2016.59	4.76031	img_PhysXCar__0_1718660791910208100.png
